Season,Episode,Murders,Notes,Corresponding Year
1,1,3,,2003
1,2,1,,2003
1,3,1,,2003
1,4,2,,2003
1,5,0,,2003
1,6,1,,2003
1,7,3,,2003
1,8,1,,2003
1,9,0,Murder not in San Fran,2003
1,10,2,,2003
1,11,1,,2003
1,12,0,Murder not in San Fran,2003
2,1,2,,2004
2,2,0,Takes place in Mexico,2004
2,3,2,,2004
2,4,2,,2004
2,5,2,,2004
2,6,1,,2004
2,7,1,,2004
2,8,1,,2004
2,9,11,"""9 murders within two weeks""",2004
2,10,2,One death wasn't murder,2004
2,11,2,,2004
2,12,1,,2004
2,13,0,,2004
2,14,2,,2004
2,15,1,,2004
2,16,2,,2004
3,1,0,Takes place in New York,2005
3,2,1,,2005
3,3,1,,2005
3,4,2,,2005
3,5,5,,2005
3,6,1,,2005
3,7,1,,2005
3,8,0,Takes place in Hollywood,2005
3,9,0,,2005
3,10,0,,2005
3,11,1,,2005
3,12,1,,2005
3,13,2,,2005
3,14,0,Takes place in Vegas,2005
3,15,1,,2005
3,16,0,,2005
4,1,3,,2006
4,2,1,,2006
4,3,2,,2006
4,4,2,,2006
4,5,0,One murder is in NYC,2006
4,6,0,Death wasn't really murder,2006
4,7,0,Takes place in Monterrey,2006
4,8,1,,2006
4,9,1,,2006
4,10,2,,2006
4,11,0,Doesn't take place in San Fran,2006
4,12,1,,2006
4,13,1,,2006
4,14,1,,2006
4,15,3,,2006
4,16,1,,2006
5,1,2,,2007
5,2,1,,2007
5,3,1,,2007
5,4,3,Fire death is murder,2007
5,5,2,,2007
5,6,1,,2007
5,7,1,,2007
5,8,1,,2007
5,9,0,Murder not in San Fran,2007
5,10,1,,2007
5,11,2,,2007
5,12,1,,2007
5,13,1,,2007
5,14,0,Murder not in San Fran,2007
5,15,2,,2007
5,16,1,,2007
6,1,1,,2008
6,2,2,,2008
6,3,1,,2008
6,4,1,,2008
6,5,2,,2008
6,6,1,,2008
6,7,0,,2008
6,8,1,,2008
6,9,1,,2008
6,10,1,,2008
6,11,1,,2008
6,12,1,,2008
6,13,2,,2008
6,14,1,,2008
6,15,0,Murder not in San Fran,2008
6,16,0,,2008
7,1,3,,2009
7,2,1,,2009
7,3,1,,2009
7,4,1,,2009
7,5,0,Murder not in San Fran,2009
7,6,1,,2009
7,7,3,,2009
7,8,1,,2009
7,9,1,,2009
7,10,1,,2009
7,11,1,,2009
7,12,2,,2009
7,13,1,,2009
7,14,1,,2009
7,15,1,,2009
7,16,3,,2009
8,1,1,,2010
8,2,2,,2010
8,3,0,Murder not in San Fran,2010
8,4,0,,2010
8,5,1,,2010
8,6,1,,2010
8,7,2,,2010
8,8,3,,2010
8,9,2,,2010
8,10,1,,2010
8,11,1,,2010
8,12,1,,2010
8,13,1,,2010
8,14,1,,2010
8,15,2,,2010
8,16,0,,2010
